8.5  0.99981620 0.00009197 0.00000156 0.00002993 0.00000371 0.00000679 0.00001109 0.00003338 0.00000107 0.00000432  1.00000000
9.0  0.99985121 0.00005778 0.00000002 0.00002778 0.00001510 0.00001951 0.00000245 0.00001184 0.00000010 0.00001422  1.00000000
9.5  0.99981522 0.00005523 0.00000078 0.00002313 0.00001516 0.00003933 0.00001980 0.00000680 0.00000654 0.00001801  1.00000000
10.0  0.99985927 0.00003080 0.00000002 0.00002076 0.00000724 0.00001661 0.00002673 0.00000592 0.00002369 0.00000897  1.00000000
10.5  0.99988938 0.00002486 0.00000009 0.00001999 0.00001802 0.00000197 0.00000830 0.00001352 0.00002377 0.00000007  1.00000000
11.0  0.99986533 0.00001094 0.00000136 0.00000875 0.00002255 0.00005094 0.00000055 0.00001485 0.00000648 0.00001824  1.00000000
11.5  0.99984907 0.00000615 0.00000057 0.00000892 0.00001958 0.00005482 0.00001457 0.00002255 0.00000512 0.00001866  1.00000000
12.0  0.99987372 0.00000135 0.00000175 0.00000569 0.00001950 0.00001031 0.00001762 0.00001905 0.00002931 0.00002169  1.00000000
12.5  0.99986140 0.00000037 0.00000036 0.00000282 0.00002486 0.00003936 0.00000306 0.00000791 0.00004347 0.00001639  1.00000000
13.0  0.99983323 0.00000173 0.00000187 0.00001124 0.00001558 0.00005511 0.00000705 0.00000982 0.00002958 0.00003480  1.00000000
13.5  0.99987704 0.00000697 0.00000005 0.00000247 0.00002075 0.00001383 0.00001938 0.00001893 0.00002110 0.00001947  1.00000000
14.0  0.99985308 0.00000896 0.00000160 0.00000459 0.00002154 0.00002674 0.00001167 0.00001551 0.00002265 0.00003366  1.00000000
14.5  0.99978841 0.00002368 0.00000023 0.00000837 0.00001665 0.00005135 0.00000560 0.00000362 0.00002431 0.00007777  1.00000000
15.0  0.99983792 0.00002209 0.00000235 0.00000076 0.00002437 0.00001518 0.00001655 0.00000872 0.00004165 0.00003041  1.00000000
15.5  0.99975461 0.00004661 0.00000017 0.00000251 0.00002212 0.00001535 0.00001771 0.00002095 0.00010302 0.00001696  1.00000000
16.0  0.99976234 0.00004031 0.00000102 0.00000045 0.00002017 0.00003909 0.00000909 0.00001366 0.00010069 0.00001319  1.00000000
16.5  0.99979801 0.00007271 0.00000034 0.00000347 0.00003174 0.00001650 0.00001285 0.00000420 0.00004869 0.00001149  1.00000000
17.0  0.99980797 0.00006456 0.00000029 0.00000375 0.00001665 0.00000733 0.00001215 0.00001678 0.00006068 0.00000982  1.00000000
17.5  0.99970996 0.00009460 0.00000020 0.00000527 0.00001841 0.00003676 0.00001392 0.00002024 0.00009979 0.00000086  1.00000000
18.0  0.99972477 0.00009114 0.00000004 0.00001421 0.00003154 0.00002276 0.00000950 0.00001047 0.00009466 0.00000090  1.00000000
18.5  0.99978247 0.00010856 0.00000008 0.00001963 0.00003001 0.00000654 0.00000579 0.00000931 0.00003431 0.00000329  1.00000000
19.0  0.99971248 0.00011204 0.00000053 0.00004149 0.00002608 0.00004785 0.00000276 0.00000690 0.00004750 0.00000238  1.00000000
19.5  0.99970614 0.00010752 0.00000020 0.00004165 0.00000919 0.00003737 0.00001386 0.00001041 0.00007230 0.00000137  1.00000000
20.0  0.99968019 0.00011656 0.00000038 0.00005033 0.00001739 0.00003032 0.00002774 0.00000789 0.00006595 0.00000324  1.00000000
20.5  0.99969724 0.00008635 0.00000028 0.00005497 0.00001726 0.00001979 0.00003178 0.00000681 0.00007801 0.00000751  1.00000000
21.0  0.99968948 0.00010488 0.00000074 0.00005185 0.00002210 0.00001323 0.00001412 0.00002793 0.00007186 0.00000380  1.00000000
21.5  0.99973173 0.00006386 0.00000043 0.00004659 0.00002746 0.00001802 0.00001586 0.00002553 0.00006385 0.00000667  1.00000000
22.0  0.99974871 0.00007199 0.00000052 0.00003840 0.00001854 0.00001591 0.00001444 0.00002050 0.00006842 0.00000255  1.00000000
22.5  0.99976170 0.00003497 0.00000088 0.00003632 0.00004876 0.00000506 0.00000450 0.00002035 0.00008166 0.00000580  1.00000000
23.0  0.99974070 0.00003501 0.00000037 0.00003072 0.00005001 0.00001086 0.00000647 0.00002805 0.00008304 0.00001476  1.00000000
23.5  0.99975583 0.00001307 0.00000104 0.00002390 0.00006013 0.00000905 0.00001223 0.00002375 0.00008523 0.00001576  1.00000000
24.0  0.99979512 0.00000894 0.00000035 0.00000815 0.00006272 0.00001079 0.00001119 0.00002846 0.00005376 0.00002052  1.00000000
24.5  0.99977661 0.00000238 0.00000139 0.00001029 0.00006615 0.00002125 0.00001463 0.00002406 0.00004982 0.00003342  1.00000000
25.0  0.99975265 0.00000074 0.00000089 0.00000843 0.00007292 0.00001985 0.00002043 0.00002019 0.00007127 0.00003264  1.00000000
25.5  0.99977135 0.00000274 0.00000101 0.00000482 0.00007974 0.00001155 0.00001362 0.00002100 0.00007590 0.00001826  1.00000000
